"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"6KW42740008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP.","00649",20240516,1700,30,30,,"T4"
0,"6KW42770008D80","9194","9543",0,"MF20","A0A","APRON COMP 2","00649",20240516,1700,30,30,,"T4"
0,"6KNY426J00CE80","9194","9543",0,"MF20","A0A","REAR PANEL ASSY","00219",20240516,1500,3,3,,"T4"
0,"6KNY426J108D80","9194","9543",0,"MF20","A0A","REAR PANEL ASSY","00020",20240516,1500,2,2,,"T4"
0,"6KNY426J008D80","9194","9543",0,"MF20","A0A","REAR PANEL ASSY","00112",20240516,1500,2,2,,"T4"
0,"6LBY426J008D80","9194","9543",0,"MF20","A0A","REAR PANEL ASSY","00012",20240516,1500,3,3,,"T4"
0,"6KAY427E00CJ80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00097",20240516,1000,31,31,,"T4"
0,"6KAY427E00CJ80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00098",20240516,1200,31,31,,"T4"
0,"6KAY427H00CJ80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00097",20240516,1000,31,31,,"T4"
0,"6KAY427H00CJ80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00098",20240516,1200,31,31,,"T4"
0,"6EK42610020080","9194","9546",0,"MF21","A0B","TOP COWLING ASSY.","00200",20240516,1000,20,20,,"T4"
0,"6EK42610020080","9194","9546",0,"MF21","A0B","TOP COWLING ASSY.","00201",20240516,1200,20,20,,"T4"
0,"6LH42740108D80","9194","9546",0,"MF21","A0B","APRON 1 COMP.","00690",20240516,1700,20,20,,"T4"
0,"6LH4274000CJ80","9194","9546",0,"MF21","A0B","APRON 1 COMP.","00035",20240516,1000,20,20,,"T4"
0,"6LH4277000CJ80","9194","9546",0,"MF21","A0B","APRON COMP 2","00035",20240516,1000,20,20,,"T4"
0,"6DA42741118D80","9194","9546",0,"MF21","A0B","APRON 1","00178",20240516,1700,20,20,,"T4"
0,"6EK42741008D80","9194","9546",0,"MF21","A0B","APRON 1","00078",20240516,1000,20,20,,"T4"
0,"6EK42741008D80","9194","9546",0,"MF21","A0B","APRON 1","00079",20240516,1200,20,20,,"T4"
0,"6KA42710008D80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00810",20240516,1700,13,13,,"T4"
0,"6KA4271000CE80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00582",20240516,1000,9,9,,"T4"
0,"6KA4271000CE80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00583",20240516,1700,17,17,,"T4"
0,"6CB42710008D80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00715",20240516,1200,60,60,,"T4"
0,"6KA4271000CJ80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00095",20240516,1000,21,21,,"T4"
0,"6KA4271000CJ80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00096",20240516,1700,30,30,,"T4"
0,"6LH4271000CE80","9194","9554",0,"MF10","AG3","BOTTOM COWLING ASSY","00517",20240516,1000,3,3,,"T4"
0,"6LH4271000CJ80","9194","9554",0,"MF10","AG3","BOTTOM COWLING ASSY","00037",20240516,1000,17,17,,"T4"
0,"6DA42710008D80","9194","9554",0,"MF10","AG3","BOTTOM COWLING ASSY","00074",20240516,1200,20,20,,"T4"
0,"6CY42610210080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00628",20240516,1000,8,8,,"T4"
0,"6C1Y426A510080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00583",20240516,1700,5,5,,"T4"
0,"6C5Y426A710080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00675",20240516,1700,11,11,,"T4"
0,"6C6Y426A510080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00759",20240516,1700,4,4,,"T4"
0,"6CJY426A030080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00365",20240516,1000,7,7,,"T4"
0,"6CJY426A220080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00266",20240516,1000,15,15,,"T4"
0,"6FP42610030080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00319",20240516,1000,3,3,,"T4"
0,"6JY42610020080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00140",20240516,1000,7,7,,"T4"
0,"6JY42610020080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00141",20240516,1200,11,11,,"T4"
0,"6HKY426A10NA80","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00012",20240516,1200,9,9,,"T4"
0,"6FNY426A10NA80","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00024",20240516,1700,20,20,,"T4"
0,"6EK42741008D80","9194","9567",0,"MF22","A0C","APRON 1","00179",20240516,1700,20,20,,"T4"
0,"6FP42741008D80","9194","9567",0,"MF22","A0C","APRON 1","00216",20240516,1000,10,10,,"T4"
0,"6FP42741008D80","9194","9567",0,"MF22","A0C","APRON 1","00217",20240516,1200,20,20,,"T4"
0,"6P213641000080","3544","9524",0,"MF11","AD1","MANIFOLD,INTAKE 1","00890",20240516,1100,30,30,,"T"
0,"6GRY126A100080","2721","9543",0,"MF15",,"AIR SHROUD,CYLINDER 3 SUB","00483",20240516,1400,10,10,,"T"
0,"69J45151008D80","3525","9543",0,"MF15","A0A","COVER, UPPER CASING 1","00710",20240516,1600,30,30,,"T"
0,"6FJ42610020080","2721","9543",0,"MF20",,"TOP COWLING ASSY.","00526",20240516,1600,29,29,,"T"
0,"6S142610120080","2721","9543",0,"MF20",,"TOP COWLING ASSY.","00437",20240516,1600,1,1,,"T"
0,"6JD42610010080","2721","9543",0,"MF20",,"TOP COWLING ASSY.","00566",20240516,900,8,8,,"T"
0,"6ML4261000CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00024",20240516,1100,4,4,,"T"
0,"6KF4261011CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00064",20240516,900,16,16,,"T"
0,"6KN4261000CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00247",20240516,1400,3,3,,"T"
0,"6KNY427B00CE80","2721","9543",0,"MF20",,"COWLING,BOTTOM 2 SUB ASSY","00247",20240516,1400,3,3,,"T"
0,"6KNY427M00CE80","2721","9543",0,"MF20",,"COWLING,BOTTOM 3 SUB ASSY","00247",20240516,1400,3,3,,"T"
